CODIGO;CIDADE;UF;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;ANO
83249;ALAGOINHAS;BA;73.6;75.8;75.5;81.4;85.5;87.1;85.9;84.6;81.1;77.5;74.7;73.1;79.7
82353;ALTAMIRA;PA;83.6;85.4;85.9;85.6;84.1;80.6;-;74.2;72.8;72.1;73.8;78.8;-
82970;ALTO PARNAIBA;MA;81.0;82.2;82.5;79.5;74.2;68.3;63.4;58.3;56.7;64.4;75.2;78.6;72.0
83096;ARACAJU;SE;74.0;74.2;74.3;75.3;77.7;77.9;77.7;76.8;76.2;75.9;75.7;74.7;75.9
83442;ARACUAI;MG;66.0;62.2;65.4;64.7;63.8;62.2;58.9;53.8;51.2;53.3;65.2;69.4;61.3
83368;ARAGARCAS;GO;79.4;78.9;78.7;74.5;69.9;64.7;57.3;48.7;50.8;62.4;74.2;78.6;68.2
82659;ARAGUAINA;TO;85.6;85.9;86.8;85.5;80.8;71.9;63.8;57.8;63.8;76.1;82.7;84.6;77.1
83579;ARAXA;MG;79.3;77.7;79.3;75.6;72.9;69.6;63.6;57.5;59.6;67.0;76.6;80.4;71.6
82890;ARCOVERDE;PE;-;73.4;75.6;76.7;82.5;83.8;85.0;80.9;75.1;71.2;67.9;68.7;-
83384;ARINOS;MG;70.5;69.5;72.6;68.9;66.0;62.1;55.6;48.3;45.0;52.1;69.0;73.0;62.7
83049;AVELAR (P.DO ALFERES);RJ;79.2;77.9;80.5;80.9;82.0;82.1;80.0;75.8;73.8;74.7;77.7;78.0;78.6
83980;BAGE;RS;67.5;70.0;71.1;74.2;78.8;79.0;77.0;73.3;72.9;72.1;67.0;65.5;72.4
82768;BALSAS;MA;80.5;80.4;80.3;77.3;70.9;61.3;53.7;48.5;49.3;61.1;73.2;77.1;67.8
83582;BAMBUI;MG;82.3;79.7;82.7;81.9;81.9;81.8;78.8;71.9;69.6;72.5;79.6;82.7;78.8
83689;BARBACENA;MG;82.4;-;-;82.8;83.0;81.0;77.5;72.3;73.6;77.0;83.0;83.6;-
82784;BARBALHA;CE;72.5;80.0;81.8;81.1;76.2;70.2;63.8;57.8;54.0;53.3;59.3;63.1;67.8
82113;BARCELOS;AM;85.9;85.4;87.4;88.8;90.3;89.1;87.3;85.6;85.4;85.3;86.2;85.3;86.8
82571;BARRA DO CORDA;MA;81.6;83.9;86.0;85.3;81.8;73.5;65.4;57.9;57.3;61.4;68.6;75.2;73.2
82191;BELEM;PA;88.1;89.5;89.7;88.9;86.3;82.8;81.5;80.2;79.3;79.3;79.6;83.7;84.1
