CODIGO;CIDADE;UF;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;ANO
82989;AGUA BRANCA;AL;48.6;-;85.7;80.0;133.2;160.4;170.1;96.0;52.2;35.8;27.7;39.9;-
83249;ALAGOINHAS;BA;54.6;60.0;61.7;121.5;157.4;144.3;110.4;91.5;66.3;51.3;60.2;53.2;1032.4
82353;ALTAMIRA;PA;284.7;330.3;399.5;365.6;232.9;102.9;-;34.2;46.2;58.0;90.5;164.0;-
83007;ALTO DA BOA VISTA;RJ;228.6;177.8;252.0;201.1;180.8;154.1;179.9;150.5;219.5;194.7;239.0;236.8;2414.8
82970;ALTO PARNAIBA;MA;231.0;195.7;241.6;128.4;39.6;2.5;0.4;2.0;14.1;74.8;163.8;186.3;1280.2
83096;ARACAJU;SE;43.0;66.7;73.3;153.9;226.9;198.4;149.5;97.4;61.9;56.0;38.3;24.0;1189.3
83442;ARACUAI;MG;109.7;79.3;95.8;27.9;16.8;3.5;4.0;4.7;11.3;51.8;149.3;153.1;707.2
83368;ARAGARCAS;GO;298.7;213.2;207.4;88.5;21.4;10.7;5.5;6.9;32.8;118.1;198.4;249.3;1450.9
82659;ARAGUAINA;TO;259.1;272.7;293.6;211.2;94.6;21.6;8.4;11.1;51.6;120.3;206.0;211.7;1761.9
83579;ARAXA;MG;294.0;227.1;206.8;80.7;48.6;17.0;7.0;11.8;60.6;118.0;210.3;285.5;1567.4
82890;ARCOVERDE;PE;-;63.0;106.7;61.6;89.0;83.3;77.6;55.0;19.7;16.9;15.3;26.1;-
82696;AREIA;PB;81.4;102.5;138.6;152.0;166.8;196.6;-;123.9;59.3;27.6;24.0;42.9;-
83384;ARINOS;MG;183.1;140.9;178.7;65.2;15.9;2.9;0.2;4.9;11.7;67.1;200.6;234.7;1105.9
83049;AVELAR (P.DO ALFERES);RJ;213.5;135.1;133.2;56.1;40.6;21.3;14.1;16.2;53.2;86.5;173.4;215.3;1158.5
82460;BACABAL;MA;253.3;301.2;369.1;347.3;192.3;50.9;19.0;11.9;9.8;28.0;67.4;124.2;1774.4
83980;BAGE;RS;137.3;129.1;113.9;173.2;129.6;122.9;130.5;112.6;135.6;176.0;116.9;122.3;1599.9
82768;BALSAS;MA;226.7;181.6;186.1;119.8;50.1;4.7;1.0;1.3;18.2;86.1;151.8;167.3;1194.7
83582;BAMBUI;MG;300.0;169.3;165.8;73.5;47.9;18.3;8.4;11.8;61.7;119.2;187.4;279.9;1443.2
83689;BARBACENA;MG;277.2;149.1;180.6;65.2;39.1;18.4;10.8;16.6;63.1;124.5;215.5;268.0;1428.1
82784;BARBALHA;CE;180.9;197.4;251.7;151.0;69.8;18.2;13.9;2.4;4.2;20.2;36.3;76.3;1022.3
82113;BARCELOS;AM;164.6;198.0;258.1;330.2;306.0;244.8;185.3;128.1;102.1;97.4;134.2;163.6;2312.4
83179;BARRA;BA;112.7;96.2;-;67.2;13.8;1.4;0.1;0.3;6.7;30.9;97.9;107.1;-
82571;BARRA DO CORDA;MA;172.9;193.7;228.2;153.1;74.8;14.1;8.6;7.1;12.9;33.5;79.4;114.0;1092.3
83236;BARREIRAS;BA;172.2;135.1;152.3;71.6;18.3;2.7;0.6;0.6;10.1;57.2;169.0;186.2;975.9
82191;BELEM;PA;393.8;437.8;506.3;465.5;323.6;205.8;156.0;128.7;120.1;135.8;151.4;283.5;3308.3
83587;BELO HORIZONTE;MG;330.9;177.7;197.5;82.3;28.1;11.4;5.4;10.6;49.2;110.1;236.0;339.1;1578.3
82246;BELTERRA;PA;222.4;251.9;325.5;300.4;241.6;139.0;101.3;47.5;32.6;53.6;73.5;89.1;1878.4
82410;BENJAMIN CONSTANT;AM;343.7;293.9;307.9;276.0;216.0;168.4;129.2;114.4;143.4;198.4;249.1;270.2;2710.6
83557;BOA ESPERANCA;ES;124.2;92.3;129.9;87.6;45.2;42.1;42.1;37.7;38.1;85.7;214.9;190.7;1130.5
