CODIGO;CIDADE;UF;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;ANO
82989;AGUA BRANCA;AL;19.9;-;20.3;20.1;19.2;18.3;17.2;17.0;17.4;18.3;19.3;19.8;-
83249;ALAGOINHAS;BA;21.3;21.5;21.6;21.3;20.4;19.2;18.1;17.8;18.5;19.4;20.6;21.3;20.1
82353;ALTAMIRA;PA;22.7;22.4;22.7;22.7;23.0;22.6;-;22.8;23.1;23.3;23.4;23.1;-
83007;ALTO DA BOA VISTA;RJ;20.8;21.0;20.2;18.8;16.5;15.6;15.1;15.4;16.5;17.6;18.5;20.0;18.0
82970;ALTO PARNAIBA;MA;21.9;21.9;22.0;21.8;20.7;18.2;17.0;17.5;20.2;22.3;22.4;22.1;20.7
83096;ARACAJU;SE;23.9;24.1;24.0;23.7;23.0;22.3;21.9;21.8;22.5;23.1;23.5;23.8;23.1
83442;ARACUAI;MG;21.6;21.8;21.7;20.7;18.4;16.7;16.2;17.1;19.7;21.6;21.6;21.5;19.9
83368;ARAGARCAS;GO;22.1;22.1;22.0;21.4;18.7;16.4;15.5;17.3;20.6;22.4;22.2;22.1;20.2
82659;ARAGUAINA;TO;21.6;21.7;22.0;21.8;21.0;18.5;17.1;17.5;19.7;21.0;21.6;21.7;20.4
83579;ARAXA;MG;19.0;18.9;18.6;17.6;15.1;14.3;14.1;15.2;17.0;18.3;18.2;18.7;17.1
82890;ARCOVERDE;PE;-;19.8;19.9;19.5;18.9;17.7;16.9;16.5;17.2;18.4;19.1;19.6;-
82696;AREIA;PB;20.5;20.8;20.9;20.9;20.3;19.2;-;18.2;18.7;19.4;19.8;20.2;-
83384;ARINOS;MG;21.2;21.3;21.3;20.4;17.8;15.6;15.0;16.2;19.2;21.2;21.3;21.2;19.3
83049;AVELAR (P.DO ALFERES);RJ;19.4;19.0;18.6;16.5;13.1;11.2;10.5;11.2;13.9;16.4;17.7;19.0;15.5
83980;BAGE;RS;18.4;18.3;16.8;14.1;11.1;9.0;8.1;9.4;10.6;13.0;14.7;16.9;13.4
82768;BALSAS;MA;22.1;22.2;22.3;22.5;22.0;20.4;-;20.3;22.5;23.2;22.6;22.3;-
